DATE,POILBREUSDM
4/1/2008,110.0331818
5/1/2008,123.8622727
6/1/2008,132.7604762
7/1/2008,133.5852174
8/1/2008,113.8004762
9/1/2008,98.75545455
10/1/2008,71.96347826
11/1/2008,52.7135
12/1/2008,40.51173913
1/1/2009,43.17454545
2/1/2009,42.9105
3/1/2009,46.58272727
4/1/2009,50.51909091
5/1/2009,57.50142857
6/1/2009,68.58
7/1/2009,64.90434783
8/1/2009,72.59190476
9/1/2009,67.51318182
10/1/2009,72.96863636
11/1/2009,76.93666667
12/1/2009,74.78956522
1/1/2010,76.60238095
2/1/2010,73.903
3/1/2010,79.51913043
4/1/2010,85.15636364
5/1/2010,76.13238095
6/1/2010,75.24636364
7/1/2010,75.195
8/1/2010,76.89181818
9/1/2010,77.93818182
10/1/2010,83.33857143
11/1/2010,85.80090909
12/1/2010,91.96
1/1/2011,96.95238095
2/1/2011,104.2385
3/1/2011,114.9173913
4/1/2011,123.3257143
5/1/2011,114.9295455
6/1/2011,114.3704545
7/1/2011,117.4833333
8/1/2011,110.3547826
9/1/2011,111.9627273
10/1/2011,110.4295238
11/1/2011,111.1586364
12/1/2011,108.3477273
1/1/2012,111.415
2/1/2012,119.1657143
3/1/2012,124.7031818
4/1/2012,120.47
5/1/2012,110.8221739
6/1/2012,95.88904762
7/1/2012,102.9795455
8/1/2012,113.7804348
9/1/2012,113.6415
10/1/2012,111.7926087
11/1/2012,109.9118182
12/1/2012,109.5690476
1/1/2013,112.5278261
2/1/2013,116.488
3/1/2013,109.5857143
4/1/2013,102.96
5/1/2013,102.9804348
6/1/2013,103.3585
7/1/2013,107.7795652
8/1/2013,111.0581818
9/1/2013,111.9628571
10/1/2013,109.6186957
11/1/2013,108.1504762
12/1/2013,111.0704545
1/1/2014,107.9269565
2/1/2014,108.838
3/1/2014,107.8680952
4/1/2014,108.0036364
5/1/2014,109.8322727
6/1/2014,112.2409524
7/1/2014,107.4626087
8/1/2014,102.4019048
9/1/2014,97.85272727
10/1/2014,87.58478261
11/1/2014,79.2295
12/1/2014,62.90391304
1/1/2015,48.93318182
2/1/2015,58.254
3/1/2015,56.52454545
4/1/2015,59.82636364
5/1/2015,65.19380952
6/1/2015,62.62
7/1/2015,56.82956522
8/1/2015,47.53380952
9/1/2015,48.03045455
10/1/2015,48.90636364
11/1/2015,45.0952381
12/1/2015,38.52521739
1/1/2016,32.0452381
2/1/2016,33.76238095
3/1/2016,39.79217391
4/1/2016,43.33047619
5/1/2016,47.735
6/1/2016,49.87727273
7/1/2016,46.59857143
8/1/2016,47.05217391
9/1/2016,47.37681818
10/1/2016,51.41380952
11/1/2016,46.94227273
12/1/2016,55.02272727
1/1/2017,55.71090909
2/1/2017,56.096
3/1/2017,52.65521739
4/1/2017,53.978
5/1/2017,51.37434783
